NameCD	Requirements
2	1
2	2
2	3
2	4
2	5
2	6
2	7
2	8
2	9
2	10
2	11
2	12
2	13
2	14
2	15
2	16
2	17
2	18
2	19
2	20
2	21
2	22
2	23
2	24
2	25
2	26
2	27
2	28
2	29
2	30
2	31
2	32
2	33
2	34
2	35
2	36
2	37
2	38
2	39
2	40
2	41
2	42
3	43
3	44
3	45
3	46
3	47
3	48
3	49
3	50
3	51
3	52
3	53
3	54
3	55
3	56
3	57
3	58
3	59
3	60
3	61
3	62
3	63
3	64
3	65
3	66
3	67
3	42
4	43
4	44
4	45
4	46
4	47
4	48
4	49
4	50
4	51
4	52
4	53
4	68
4	69
4	70
4	71
4	72
4	73
4	74
4	75
4	76
4	77
4	78
4	79
4	80
4	81
4	82
4	83
4	84
4	85
4	86
4	87
4	42
5	1
5	2
5	3
5	4
5	5
5	6
5	7
5	8
5	52
5	53
5	54
5	55
5	56
5	57
5	58
5	59
5	60
5	88
5	89
5	62
5	63
5	64
5	65
5	66
5	67
5	42
8	45
8	46
8	47
8	48
8	49
8	50
8	51
8	90
8	91
8	92
8	93
8	94
8	95
8	96
8	97
8	98
8	99
8	100
8	101
8	102
8	103
8	104
8	105
8	106
8	42
9	43
9	44
9	45
9	46
9	47
9	48
9	49
9	50
9	51
9	52
9	53
9	54
9	55
9	56
9	57
9	58
9	59
9	60
9	61
9	88
9	107
9	108
9	62
9	63
9	64
9	65
9	66
9	67
9	42
10	43
10	44
10	45
10	46
10	47
10	48
10	49
10	50
10	51
10	90
10	91
10	92
10	93
10	94
10	95
10	96
10	97
10	98
10	99
10	100
10	101
10	102
10	103
10	104
10	105
10	106
10	42
11	43
11	44
11	45
11	46
11	47
11	48
11	49
11	50
11	51
11	52
11	53
11	68
11	69
11	70
11	71
11	72
11	73
11	74
11	75
11	76
11	77
11	78
11	79
11	80
11	81
11	82
11	83
11	84
11	85
11	86
11	87
11	42
12	43
12	44
12	45
12	46
12	47
12	48
12	49
12	50
12	51
12	52
12	53
12	68
12	69
12	70
12	71
12	72
12	73
12	74
12	75
12	76
12	77
12	78
12	79
12	80
12	81
12	82
12	83
12	84
12	85
12	86
12	87
12	42
13	43
13	44
13	45
13	46
13	47
13	48
13	49
13	50
13	51
13	52
13	53
13	54
13	55
13	56
13	57
13	58
13	59
13	60
13	61
13	62
13	63
13	64
13	65
13	66
13	67
13	42
14	109
14	46
14	47
14	48
14	49
14	50
14	51
14	1
14	2
14	3
14	4
14	5
14	6
14	7
14	8
14	110
14	111
15	109
15	46
15	47
15	48
15	49
15	50
15	51
15	1
15	2
15	3
15	4
15	5
15	6
15	7
15	8
15	110
15	111
16	46
16	112
17	43
17	44
17	45
17	46
17	47
17	48
17	49
17	50
17	51
17	9
17	113
17	114
17	115
17	116
17	117
17	118
17	119
17	120
17	121
17	122
17	123
17	124
17	125
17	126
17	127
17	128
17	129
17	130
17	131
17	42
18	1
18	2
18	3
18	4
18	5
18	6
18	7
18	8
18	90
18	91
18	92
18	93
18	94
18	95
18	132
18	97
18	98
18	99
18	100
18	101
18	102
18	103
18	104
18	105
18	106
18	42
19	1
19	2
19	3
19	4
19	5
19	6
19	7
19	8
19	9
19	133
19	43
20	1
20	2
20	3
20	4
20	5
20	6
20	7
20	8
20	52
20	53
20	54
20	55
20	56
20	57
20	58
20	59
20	60
20	88
20	89
20	61
20	107
20	108
20	62
20	63
20	64
20	65
20	66
20	67
20	134
20	135
20	136
20	137
21	46
21	112
22	43
22	44
22	45
22	46
22	47
22	48
22	49
22	50
22	51
22	52
22	53
22	54
22	55
22	56
22	57
22	58
22	59
22	60
22	61
22	62
22	63
22	64
22	65
22	66
22	67
22	42
23	43
23	44
23	45
23	46
23	47
23	48
23	49
23	50
23	51
23	9
23	113
23	114
23	115
23	116
23	117
23	118
23	119
23	120
23	121
23	122
23	123
23	124
23	125
23	126
23	127
23	128
23	129
23	130
23	131
23	42
24	46
24	112
25	43
25	44
25	45
25	46
25	47
25	48
25	49
25	50
25	51
25	9
25	113
25	114
25	115
25	116
25	117
25	118
25	119
25	120
25	121
25	122
25	123
25	124
25	125
25	126
25	127
25	128
25	129
25	130
25	138
25	131
25	42
27	43
27	44
27	45
27	46
27	47
27	48
27	49
27	50
27	51
27	52
27	53
27	54
27	55
27	56
27	57
27	58
27	59
27	60
27	61
27	62
27	63
27	64
27	65
27	66
27	67
27	42
28	43
28	44
28	45
28	46
28	47
28	48
28	49
28	50
28	51
28	52
28	53
28	68
28	69
28	70
28	71
28	72
28	73
28	74
28	75
28	76
28	77
28	78
28	79
28	80
28	81
28	82
28	83
28	84
28	85
28	86
28	87
28	42
29	1
29	2
29	3
29	4
29	5
29	6
29	7
29	8
29	9
29	113
29	114
29	115
29	116
29	117
29	118
29	119
29	120
29	121
29	122
29	123
29	124
29	125
29	126
29	127
29	128
29	129
29	130
29	131
29	42
29	90
29	91
29	92
29	93
29	94
29	95
29	139
29	97
29	98
29	99
29	100
29	101
29	102
29	103
29	104
29	105
29	106
30	43
30	44
30	45
30	46
30	47
30	48
30	49
30	50
30	51
30	52
30	53
30	54
30	55
30	56
30	57
30	58
30	59
30	60
30	61
30	62
30	63
30	64
30	65
30	66
30	67
30	42
31	43
31	44
31	45
31	46
31	47
31	48
31	49
31	50
31	51
31	52
31	53
31	54
31	55
31	56
31	57
31	58
31	59
31	60
31	61
31	62
31	63
31	64
31	65
31	66
31	67
31	42
33	1
35	43
35	44
35	45
35	46
35	47
35	48
35	49
35	50
35	51
35	52
35	53
35	68
35	69
35	70
35	71
35	72
35	73
35	74
35	75
35	76
35	77
35	78
35	79
35	80
35	81
35	82
35	83
35	84
35	85
35	86
35	87
35	42
36	43
36	44
36	45
36	46
36	47
36	48
36	49
36	50
36	51
36	52
36	53
36	54
36	55
36	56
36	57
36	58
36	59
36	60
36	61
36	62
36	63
36	64
36	65
36	66
36	67
36	42
37	1
37	2
37	3
37	4
37	5
37	6
37	7
37	8
37	90
37	91
37	92
37	93
37	94
37	95
37	132
37	97
37	98
37	99
37	100
37	101
37	102
37	103
37	104
37	105
37	106
37	42
38	43
38	44
38	45
38	46
38	47
38	48
38	49
38	50
38	51
38	52
38	53
38	54
38	55
38	56
38	57
38	58
38	59
38	60
38	61
38	62
38	63
38	64
38	65
38	66
38	67
38	42
39	43
39	44
39	45
39	46
39	47
39	48
39	49
39	50
39	51
39	90
39	91
39	92
39	93
39	94
39	95
39	96
39	97
39	98
39	99
39	100
39	101
39	102
39	103
39	104
39	105
39	106
39	42
40	43
40	44
40	45
40	46
40	47
40	48
40	49
40	50
40	51
40	52
40	53
40	68
40	69
40	70
40	71
40	72
40	73
40	74
40	75
40	76
40	77
40	78
40	79
40	80
40	81
40	82
40	83
40	84
40	85
40	86
40	87
40	42
41	43
41	44
41	45
41	46
41	47
41	48
41	49
41	50
41	51
41	9
41	113
41	114
41	115
41	116
41	117
41	118
41	119
41	120
41	121
41	122
41	123
41	124
41	125
41	126
41	127
41	128
41	129
41	130
41	131
41	42
43	43
43	44
43	45
43	46
43	47
43	48
43	49
43	50
43	51
43	90
43	140
43	141
43	142
43	143
43	144
43	145
43	146
43	147
43	148
43	149
43	150
43	151
43	152
43	153
43	154
43	155
43	156
43	157
43	158
43	159
43	160
43	161
43	162
43	163
43	164
43	165
43	166
43	167
43	168
43	42
44	43
44	44
44	45
44	46
44	47
44	48
44	49
44	50
44	51
44	52
44	53
44	68
44	69
44	70
44	71
44	72
44	73
44	74
44	75
44	76
44	77
44	169
44	170
44	171
44	78
44	79
44	80
44	81
44	82
44	83
44	84
44	85
44	86
44	87
44	42
45	43
45	44
45	45
45	46
45	47
45	48
45	49
45	50
45	51
45	52
45	53
45	54
45	55
45	56
45	57
45	58
45	59
45	60
45	61
45	88
45	107
45	108
45	62
45	63
45	64
45	65
45	66
45	67
45	42
46	43
46	44
46	45
46	46
46	47
46	48
46	49
46	50
46	51
46	9
46	10
46	11
46	12
46	13
46	14
46	15
46	16
46	17
46	18
46	19
46	20
46	21
46	22
46	23
46	24
46	25
46	26
46	27
46	28
46	29
46	30
46	31
46	32
46	33
46	34
46	35
46	36
46	37
46	38
46	39
46	40
46	41
46	42
48	43
48	44
48	45
48	46
48	47
48	48
48	49
48	50
48	51
48	90
48	140
48	141
48	142
48	143
48	144
48	145
48	146
48	147
48	148
48	149
48	150
48	151
48	152
48	153
48	154
48	155
48	156
48	157
48	158
48	159
48	160
48	161
48	162
48	163
48	164
48	165
48	166
48	167
48	168
48	42
49	43
49	44
49	45
49	46
49	47
49	48
49	49
49	50
49	51
49	9
49	10
49	11
49	12
49	13
49	14
49	15
