NameCD	Requirements
1	1
1	2
1	3
1	4
1	5
1	6
1	7
1	8
1	14
1	15
1	16
1	17
1	18
1	19
1	20
1	21
1	22
1	23
1	24
1	25
1	26
1	27
1	28
1	29
1	30
1	31
1	32
1	33
1	34
1	35
1	36
1	37
1	38
1	39
1	40
1	41
1	42
1	43
1	44
1	45
1	46
1	47
1	48
1	49
1	50
1	51
2	1
2	2
2	3
2	4
2	5
2	6
2	7
2	8
2	9
2	10
2	11
2	12
2	13
3	1
3	2
3	3
3	4
3	5
3	6
3	7
3	8
3	14
3	15
3	16
3	17
3	18
3	19
3	20
3	21
3	22
3	23
3	24
3	25
3	26
3	27
3	28
3	29
3	30
3	31
3	32
3	33
3	34
3	35
3	36
3	37
3	38
3	39
3	40
3	41
3	42
3	43
3	44
3	45
3	46
3	47
3	48
3	49
3	52
4	1
4	2
4	3
4	53
4	6
4	54
4	55
4	56
4	57
4	58
4	59
4	60
5	1
5	2
5	3
5	53
5	6
5	54
5	50
5	51
6	1
6	2
7	1
7	2
7	3
7	53
7	6
7	54
7	9
7	10
8	1
8	2
8	3
8	4
8	5
8	6
8	7
8	8
8	11
8	12
9	1
9	2
9	3
9	4
9	5
9	6
9	7
9	8
9	61
9	62
9	63
9	64
10	1
10	2
10	3
10	53
10	6
10	54
10	65
10	66
10	67
10	68
10	69
10	70
10	71
10	72
10	73
10	74
10	75
10	76
10	77
10	78
10	79
10	80
10	81
10	82
10	83
10	84
10	85
10	86
10	87
10	88
10	89
11	1
11	2
11	3
11	53
11	6
11	54
11	9
11	10
12	1
12	2
12	3
12	4
12	5
12	6
12	7
12	8
12	9
12	10
12	11
12	12
12	13
13	1
13	2
13	3
13	53
13	6
13	54
13	90
13	91
13	92
13	93
13	94
13	95
13	96
13	97
13	98
13	99
13	100
13	101
13	102
13	103
13	104
14	1
14	2
14	3
14	53
14	6
14	54
14	50
14	51
16	1
16	2
16	3
16	4
16	5
16	6
16	7
16	8
16	14
16	15
16	16
16	17
16	18
16	19
16	20
16	21
16	22
16	23
16	24
16	25
16	26
16	27
16	28
16	29
16	30
16	31
16	32
16	33
16	34
16	35
16	36
16	37
16	38
16	39
16	40
16	41
16	42
16	43
16	44
16	45
16	46
16	47
16	48
16	50
16	51
18	1
18	2
18	3
20	1
20	2
20	3
20	53
20	6
20	54
20	90
20	91
20	92
20	93
20	94
20	95
20	96
20	97
20	98
20	99
20	100
20	101
20	102
20	103
20	104
21	1
21	2
21	3
21	53
21	6
21	54
21	65
21	66
21	67
21	68
21	69
21	70
21	71
21	72
21	73
21	74
21	75
21	76
21	77
21	78
21	79
21	80
21	81
21	82
21	83
21	84
21	85
21	86
21	87
21	88
22	1
22	2
22	3
22	53
22	6
22	54
22	105
22	106
22	107
22	108
22	109
23	1
23	2
23	3
23	53
23	6
23	54
23	110
23	111
23	112
23	113
23	114
24	1
24	2
24	3
24	53
24	6
24	54
24	65
24	66
24	67
24	68
24	69
24	70
24	71
24	72
24	73
24	74
24	75
24	76
24	77
24	78
24	79
24	80
24	81
24	82
24	83
24	84
24	85
24	86
24	87
24	88
25	1
25	2
25	3
25	53
25	6
25	54
25	65
25	66
25	67
25	68
25	69
25	70
25	71
25	72
25	73
25	74
25	75
25	76
25	77
25	78
25	79
25	80
25	81
25	82
25	83
25	84
25	85
25	86
25	87
25	88
26	1
26	2
27	1
27	2
27	3
27	53
27	6
27	54
27	9
27	10
28	1
28	2
28	3
28	4
28	5
28	6
28	7
28	8
28	14
28	15
28	16
28	17
28	18
28	19
28	20
28	21
28	22
28	23
28	24
28	25
28	26
28	27
28	28
28	29
28	30
28	31
28	32
28	33
28	34
28	35
28	36
28	37
28	38
28	39
28	40
28	41
28	42
28	43
28	44
28	45
28	46
28	47
28	48
28	49
28	115
28	116
28	117
