NameCD	Requirements
1	1
1	2
1	3
1	4
1	5
1	6
1	7
1	8
1	9
1	10
2	11
2	12
5	13
5	14
5	15
6	16
7	9
8	11
8	17
9	7
9	13
9	14
10	7
10	9
10	10
12	11
12	18
12	19
12	20
12	21
13	24
14	5
14	6
14	4
14	22
14	7
14	10
14	13
14	14
14	15
14	23
15	25
15	7
15	13
15	14
15	15
15	10
15	23
16	26
16	18
16	19
17	26
17	16
18	26
18	11
18	27
18	28
18	17
18	16
19	29
20	11
20	27
20	17
23	2
23	30
24	31
24	32
24	23
25	26
25	20
25	18
25	19
25	24
26	33
26	7
27	5
27	29
29	5
29	34
29	7
29	35
30	26
30	27
30	28
31	5
31	34
31	7
31	35
31	10
32	36
32	30
32	2
32	3
32	5
32	37
32	6
32	7
32	38
32	10
32	17
33	37
33	38
34	5
34	39
34	8
34	7
34	33
35	3
35	1
35	6
35	4
35	10
36	5
36	32
36	4
36	22
36	7
36	23
36	13
36	14
36	15
36	33
36	8
37	7
37	13
37	14
38	34
38	35
39	26
39	17
41	40
42	11
42	16
43	11
43	20
43	21
45	40
46	11
46	27
46	18
46	19
46	24
47	39
47	8
49	29
50	2
50	31
50	5
50	32
50	7
50	23
51	26
51	20
51	17
52	40
53	7
53	9
55	17
56	1
56	2
56	4
56	5
56	7
56	8
56	9
56	23
59	26
59	12
60	26
60	18
60	19
60	27
60	28
64	26
64	18
64	19
65	5
65	37
65	7
65	38
