NameCD	Requirements
1	1
1	2
1	3
2	4
3	5
4	6
5	1
5	7
5	8
5	9
5	10
5	11
5	12
5	13
6	14
7	15
7	14
7	16
8	17
10	18
10	19
10	20
11	21
11	22
11	23
12	5
13	24
13	25
13	26
14	27
15	19
16	28
17	27
18	29
19	30
20	25
21	1
21	31
21	8
21	9
21	10
21	11
21	12
21	32
21	33
21	34
21	35
21	36
23	37
23	7
23	8
23	9
23	10
23	11
23	12
23	38
23	39
24	40
25	41
25	28
25	42
26	43
26	44
26	8
26	9
26	10
26	11
26	12
26	45
26	46
26	47
27	48
28	49
28	17
28	50
29	51
29	30
29	52
30	43
30	44
30	7
30	8
30	9
30	10
30	11
30	12
30	45
30	53
30	54
30	55
30	56
31	57
31	40
31	58
32	6
33	59
34	60
34	7
34	8
34	9
34	10
34	11
34	12
34	61
34	62
34	63
34	64
34	65
35	66
35	67
35	68
36	69
37	70
38	70
39	1
39	43
39	8
39	9
39	10
39	11
39	12
39	45
39	53
39	54
39	2
39	3
39	71
39	72
39	73
41	67
42	1
42	37
42	8
42	9
42	10
42	11
42	12
42	38
42	74
42	75
43	60
43	7
43	8
43	9
43	10
43	11
43	12
43	61
43	62
43	63
43	64
44	43
44	44
44	7
44	8
44	9
44	10
44	11
44	12
44	45
44	53
44	54
44	55
44	56
44	76
44	77
45	59
46	29
48	4
49	78
49	7
49	8
49	9
49	10
49	11
49	12
49	79
49	80
50	1
50	60
50	8
50	9
50	10
50	11
50	12
50	61
50	62
50	63
50	81
50	82
50	83
51	22
52	31
52	7
52	8
52	9
52	10
52	11
52	12
52	32
52	33
52	34
52	84
53	69
54	43
54	44
54	7
54	8
54	9
54	10
54	11
54	12
54	45
54	46
54	47
55	85
55	86
55	87
55	88
